path,modules,count
/,patches/v05F_multisource_collection_patch_20260701_093910/app/main.py;app/v04e_entity_resolution.py;backups/code_before_v06e_20260706_115352/app/v04db_prestructure.py;app/v04db_prestructure.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/main.py;backup_before_v05m_recovery_20260702_091828/app/v04c_review.py;app/main.py;backup_before_v05m_recovery_20260702_091828/app/v04c1_ingestion.py;backups/code_before_v06e_20260706_115352/app/v04d_structuring.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v04e_entity_resolution.py;backup_before_v05m_recovery_20260702_091828/app/main.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v04c_review.py;app/v04d_structuring.py;backup_before_v05m_recovery_20260702_091828/app/v04db_prestructure.py;backups/code_before_v06e_20260706_115352/app/v04c1_ingestion.py;backups/code_before_v06e_20260706_115352/app/v04e_entity_resolution.py;backup_before_v05m_recovery_20260702_091828/app/v04d_structuring.py;backups/code_before_v06e_20260706_115352/app/v04c_review.py;patches/v05M_全站产品化收口中文化入口整合与核心流程重构_完整覆盖补丁_staging/app/main.py;app/v04c_review.py;app/v04c1_ingestion.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v04c1_ingestion.py;backups/code_before_v06e_20260706_115352/app/main.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v04db_prestructure.py;backup_before_v05m_recovery_20260702_091828/app/v04e_entity_resolution.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v04d_structuring.py;patches/v05G_semantic_processing_patch_20260701_113851/app/main.py,27
/account,app/v05a_security.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v05a_security.py;backup_before_v05m_recovery_20260702_091828/app/v05a_security.py;backups/code_before_v06e_20260706_115352/app/v05a_security.py,4
/account/change-password,app/v05a_security.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v05a_security.py;backup_before_v05m_recovery_20260702_091828/app/v05a_security.py;backups/code_before_v06e_20260706_115352/app/v05a_security.py,4
/account/forbidden,app/v05a_security.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v05a_security.py;backup_before_v05m_recovery_20260702_091828/app/v05a_security.py;backups/code_before_v06e_20260706_115352/app/v05a_security.py,4
/account/login,app/v05a_security.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v05a_security.py;backup_before_v05m_recovery_20260702_091828/app/v05a_security.py;backups/code_before_v06e_20260706_115352/app/v05a_security.py,4
/account/logout,app/v05a_security.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v05a_security.py;backup_before_v05m_recovery_20260702_091828/app/v05a_security.py;backups/code_before_v06e_20260706_115352/app/v05a_security.py,4
/actions,patches/v05F_multisource_collection_patch_20260701_093910/app/main.py;app/main.py;backups/code_before_v06e_20260706_115352/app/main.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/main.py;patches/v05M_全站产品化收口中文化入口整合与核心流程重构_完整覆盖补丁_staging/app/main.py;backup_before_v05m_recovery_20260702_091828/app/main.py;patches/v05G_semantic_processing_patch_20260701_113851/app/main.py,7
/actions/{item_id}/status,patches/v05F_multisource_collection_patch_20260701_093910/app/main.py;app/main.py;backups/code_before_v06e_20260706_115352/app/main.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/main.py;patches/v05M_全站产品化收口中文化入口整合与核心流程重构_完整覆盖补丁_staging/app/main.py;backup_before_v05m_recovery_20260702_091828/app/main.py;patches/v05G_semantic_processing_patch_20260701_113851/app/main.py,7
/admin,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06e_20260706_115352/app/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,6
/admin/audit,app/v05a_security.py;patches/v05M-R_异常中断恢复模板乱码与全站回归修复_完整覆盖补丁_staging/app/v05a_security.py;backup_before_v05m_recovery_20260702_091828/app/v05a_security.py;backups/code_before_v06e_20260706_115352/app/v05a_security.py,4
/admin/data-integrity,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06e_20260706_115352/app/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,6
/admin/data-integrity/{issue_id}/status,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06e_20260706_115352/app/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,6
/admin/intelligence,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,5
/admin/intelligence/collection/{collection_item_id:int}/publish,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,5
/admin/intelligence/{item_id:int},backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,5
/admin/intelligence/{item_id:int}/publish,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,5
/admin/intelligence/{item_id:int}/update,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,5
/admin/organizations,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,5
/admin/organizations/{org_id:int},backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,5
/admin/organizations/{org_id:int}/update,backups/code_before_v06h_20260706_145146/routes_platform.py;backups/code_before_v06i_intelligence_20260706_151858/routes_platform.py;backups/code_before_v06f_20260706_130354/app/routes_platform.py;backups/code_before_v06i_nav_crawl_20260706_162150/app/routes_platform.py;app/routes_platform.py,5
